"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","browser","scRes","window_resolution","focus","success","miniblock","nSteps","node","goalnode","choiceVar","total_reward","trBet"
"2122.900000035763","<p >Welcome to the experiment. Press any key to continue.</p>                <p style=""font-family:VideoGame;font-size:10%;"">.</p>","77","html-keyboard-response","0","2125","0.0-0.0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36 Edg/91.0.864.59","W1920,H1080","1920 x 1009","true","","","","","","","",""
"299.80000001192093","<p style=""width:50%; margin-left:auto;margin-right:auto"">Before the start of the experiment, we would like to provide you with some information regarding ourselves and your own privacy. Please read the statements and tick the box if you agree and wish to continue. It is always an option to terminate the experiment when one or more things cause you concern.</p>","77","html-keyboard-response","1","2425","0.0-1.0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36 Edg/91.0.864.59","W1920,H1080","1920 x 1009","true","","","","","","","",""
"358.80000001192093","<p style=""width:50%; margin-left:auto;margin-right:auto"">For the experiment it is important that we set your browser to fullscreen mode. The next page will contain a button you can press to enter fullscreen. If you leave fullscreen during the experiment at any time, this will be recorded and unfortunately we will not be able to complete your payment if this has occurred. Additionally, be aware that the experiment only works for 16:9 aspect ratio monitors. If you do not have a monitor with this aspect ratio, please quit the experiment, as we will ultimately not be able to complete your payment.</p><p>Press any key to continue.</p>","77","html-keyboard-response","2","2785","0.0-2.0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36 Edg/91.0.864.59","W1920,H1080","1920 x 1009","true","","","","","","","",""
"","","","fullscreen","3","4511","0.0-3.0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36 Edg/91.0.864.59","W1920,H1080","1920 x 1080","true","true","","","","","","",""
"11579.900000035763","img/Boot.png","38","image-keyboard-response","4","16102","0.0-4.0-0.0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36 Edg/91.0.864.59","W1920,H1080","1770 x 937","true","","","","","","","",""
"2133.5","img/Boot.png","40","image-keyboard-response","5","18239","0.0-5.0-0.0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36 Edg/91.0.864.59","W1920,H1080","1770 x 937","true","","0","0","4","11","0","0","0"
"975.3999999761581","img/Toiletpaper.png","40","image-keyboard-response","6","19217","0.0-5.0-0.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36 Edg/91.0.864.59","W1920,H1080","1770 x 937","true","","0","1","2","11","0","0","0"
"965.8999999761581","img/Lightbulb.png","40","image-keyboard-response","7","20185","0.0-5.0-0.2","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36 Edg/91.0.864.59","W1920,H1080","1770 x 937","true","","0","2","0","11","0","0","0"
"1040.0999999642372","img/Book.png","40","image-keyboard-response","8","21227","0.0-5.0-0.3","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36 Edg/91.0.864.59","W1920,H1080","1770 x 937","true","","0","3","1","11","0","0","0"
"926.6000000238419","img/Toiletpaper.png","40","image-keyboard-response","9","22157","0.0-5.0-0.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36 Edg/91.0.864.59","W1920,H1080","1770 x 937","true","","0","4","2","11","0","0","0"
"957.6000000238419","img/Balloon.png","40","image-keyboard-response","10","23117","0.0-5.0-0.5","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36 Edg/91.0.864.59","W1920,H1080","1770 x 937","true","","0","5","3","11","0","0","0"
"957.3999999761581","img/Boot.png","40","image-keyboard-response","11","24077","0.0-5.0-0.6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36 Edg/91.0.864.59","W1920,H1080","1770 x 937","true","","0","6","4","11","0","0","0"
"987","img/Jar.png","40","image-keyboard-response","12","25067","0.0-5.0-0.7","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36 Edg/91.0.864.59","W1920,H1080","1770 x 937","true","","0","7","5","11","0","0","0"
