"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","browser","scRes","window_resolution","focus","success","miniblock","nSteps","node","goalnode","choiceVar"
"1562","<p >Welcome to the experiment. Press any key to continue.</p>                <p style=""font-family:VideoGame;font-size:10%;"">.</p>","39","html-keyboard-response","0","1565","0.0-0.0","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 955","true","","","","","",""
"264","<p style=""width:50%; margin-left:auto;margin-right:auto"">Before the start of the experiment, we would like to provide you with some information regarding ourselves and your own privacy. Please read the statements and tick the box if you agree and wish to continue. It is always an option to terminate the experiment when one or more things cause you concern.</p>","39","html-keyboard-response","1","1831","0.0-1.0","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 955","true","","","","","",""
"253","<p style=""width:50%; margin-left:auto;margin-right:auto"">For the experiment it is important that we set your browser to fullscreen mode. The next page will contain a button you can press to enter fullscreen. If you leave fullscreen during the experiment at any time, this will be recorded and unfortunately we will not be able to complete your payment if this has occurred. Additionally, be aware that the experiment only works for 16:9 aspect ratio monitors. If you do not have a monitor with this aspect ratio, please quit the experiment, as we will ultimately not be able to complete your payment.</p><p>Press any key to continue.</p>","39","html-keyboard-response","2","2087","0.0-2.0","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 955","true","","","","","",""
"","","","fullscreen","3","3938","0.0-3.0","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 1080","true","true","","","","",""
"6856","img/Cap.png","38","image-keyboard-response","4","10825","0.0-4.0-0.0","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 1080","true","","","","","",""
"2871","img/Cap.png","39","image-keyboard-response","5","13711","0.0-5.0-0.0","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 1080","true","","0","0","4","7","1"
"783","img/Toaster.png","39","image-keyboard-response","6","14534","0.0-5.0-0.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 1080","true","","0","1","5","7","1"
"904","img/Cap.png","39","image-keyboard-response","7","15439","0.0-5.0-0.2","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 1080","true","","0","2","4","7","1"
"594","img/Boot.png","39","image-keyboard-response","8","16064","0.0-5.0-0.3","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 1080","true","","0","3","3","7","1"
"474","img/Basket.png","39","image-keyboard-response","9","16592","0.0-5.0-0.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 1080","true","","0","4","1","7","1"
"650","img/Toiletpaper.png","39","image-keyboard-response","10","17296","0.0-5.0-0.5","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 1080","true","","0","5","2","7","1"
"763","img/Cap.png","40","image-keyboard-response","11","18062","0.0-5.0-0.6","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 1080","true","","0","6","4","7",""
"503","img/Boot.png","40","image-keyboard-response","12","18566","0.0-5.0-0.7","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 1080","true","","0","7","3","7",""
"447","img/Basket.png","40","image-keyboard-response","13","19015","0.0-5.0-0.8","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 1080","true","","0","8","1","7",""
"604","img/Cap.png","40","image-keyboard-response","14","19624","0.0-5.0-0.9","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 1080","true","","0","9","4","7",""
"572","img/Toiletpaper.png","40","image-keyboard-response","15","20200","0.0-5.0-0.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 1080","true","","0","10","2","7",""
"1804","img/Basket.png","40","image-keyboard-response","16","22007","0.0-5.0-0.11","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 1080","true","","0","11","1","7",""
