"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","success","miniblock","nSteps","totRew","trRew","node","goalnode","decision"
"1063.8749999925494","Welcome to the experiment. Press any key to begin.","32","html-keyboard-response","0","1066","0.0-0.0","","","","","","","","",""
"293.26000006403774","<p>This screen will contain the instructions for the task.</p><p>We might use multiple instruction screens to properly display the different types of screens (goal, start, feedback, etc) the participant can encounter.</p><p>We should also instruct them they have to press the spacebar.</p>","32","html-keyboard-response","1","1360","0.0-1.0","","","","","","","","",""
"9883.32000002265","","","survey-text","2","13254","0.0-2.0","{""Age"":""12"",""BirthLocation"":""Roeland"",""Ppn"":""1""}","","","","","","","",""
"","","","fullscreen","3","14926","0.0-3.0","","true","","","","","","",""
"834.4899999210611","img/Mug_goal.png","32","image-keyboard-response","4","15772","0.0-4.0","","","","","","","","",""
"null","img/fixation_cross.png","null","image-keyboard-response","5","16027","0.0-5.0-0.0","","","","","","","","",""
"null","img/Toaster.png","null","image-keyboard-response","6","17546","0.0-5.0-1.0","","","0","0","65","0","18","13",""
"null","img/fixation_cross.png","null","image-keyboard-response","7","19566","0.0-5.0-0.1","","","","","","","","",""
"null","img/Soapdispenser.png","null","image-keyboard-response","8","21086","0.0-5.0-1.1","","","0","1","64","-1","16","13","wait"
"null","img/fixation_cross.png","null","image-keyboard-response","9","21346","0.0-5.0-0.2","","","","","","","","",""
"null","img/Toaster.png","null","image-keyboard-response","10","22866","0.0-5.0-1.2","","","0","2","63","-2","18","13","wait"
"null","img/fixation_cross.png","null","image-keyboard-response","11","24386","0.0-5.0-0.3","","","","","","","","",""
"null","img/Tapedispenser.png","null","image-keyboard-response","12","25897","0.0-5.0-1.3","","","0","3","62","-3","17","13","wait"
"null","img/fixation_cross.png","null","image-keyboard-response","13","26649","0.0-5.0-0.4","","","","","","","","",""
"620.5700000282377","img/Soapdispenser.png","32","image-keyboard-response","14","27271","0.0-5.0-1.4","","","0","4","61","-4","16","13","early"
"726.130000082776","<p>You ended the miniblock early.</p><p>You might have saved some losses!</p>","32","html-keyboard-response","15","27998","0.0-6.0","","","","","","","","",""
"2039.3299999414012","<p>In this block you made <span style=""color: #ff0000"">-4 points</span>. Stay strong!</p><p>This block, you took a total of <span style=""color: #ae7bdd"">4 steps</span>.</p><p>In total, you have collected the goal <span style=""color: #ae7bdd"">0 times</span>.</p><p>In total you now have <span style=""color: #93c54b"">61 points</span>.</p>","32","html-keyboard-response","16","30038","0.0-7.0","","","","","","","","",""
"500.9449999779463","img/Soapdispenser_goal.png","32","image-keyboard-response","17","30540","0.0-8.0","","","","","","","","",""
"null","img/fixation_cross.png","null","image-keyboard-response","18","31793","0.0-9.0-0.0","","","","","","","","",""
"null","img/Mug.png","null","image-keyboard-response","19","33296","0.0-9.0-1.0","","","1","0","61","0","13","16",""
"null","img/fixation_cross.png","null","image-keyboard-response","20","34049","0.0-9.0-0.1","","","","","","","","",""
"null","img/Lantern.png","null","image-keyboard-response","21","35554","0.0-9.0-1.1","","","1","1","60","-1","11","16","wait"
"null","img/fixation_cross.png","null","image-keyboard-response","22","36807","0.0-9.0-0.2","","","","","","","","",""
"null","img/Mug.png","null","image-keyboard-response","23","38311","0.0-9.0-1.2","","","1","2","59","-2","13","16","wait"
"null","img/fixation_cross.png","null","image-keyboard-response","24","39064","0.0-9.0-0.3","","","","","","","","",""
"465.570000000298","img/Lantern.png","32","image-keyboard-response","25","39532","0.0-9.0-1.3","","","1","3","58","-3","11","16","early"
"564.6900000283495","<p>You ended the miniblock early.</p><p>You might have saved some losses!</p>","32","html-keyboard-response","26","40098","0.0-10.0","","","","","","","","",""
"700.0749999424443","<p>In this block you made <span style=""color: #ff0000"">-3 points</span>. Stay strong!</p><p>This block, you took a total of <span style=""color: #ae7bdd"">3 steps</span>.</p><p>In total, you have collected the goal <span style=""color: #ae7bdd"">0 times</span>.</p><p>In total you now have <span style=""color: #93c54b"">58 points</span>.</p>","32","html-keyboard-response","27","40799","0.0-11.0","","","","","","","","",""
"530.3950000088662","img/Basket_goal.png","32","image-keyboard-response","28","41330","0.0-12.0","","","","","","","","",""
"null","img/fixation_cross.png","null","image-keyboard-response","29","42834","0.0-13.0-0.0","","","","","","","","",""
"null","img/Clipboard.png","null","image-keyboard-response","30","44339","0.0-13.0-1.0","","","2","0","58","0","6","1",""
"null","img/fixation_cross.png","null","image-keyboard-response","31","45092","0.0-13.0-0.1","","","","","","","","",""
"null","img/Iron.png","null","image-keyboard-response","32","46596","0.0-13.0-1.1","","","2","1","57","-1","9","1","wait"
"null","img/fixation_cross.png","null","image-keyboard-response","33","47098","0.0-13.0-0.2","","","","","","","","",""
"null","img/Floppy.png","null","image-keyboard-response","34","48601","0.0-13.0-1.2","","","2","2","56","-2","7","1","wait"
"null","img/fixation_cross.png","null","image-keyboard-response","35","49104","0.0-13.0-0.3","","","","","","","","",""
"null","img/Iron.png","null","image-keyboard-response","36","50605","0.0-13.0-1.3","","","2","3","55","-3","9","1","wait"
"null","img/fixation_cross.png","null","image-keyboard-response","37","51857","0.0-13.0-0.4","","","","","","","","",""
"null","img/Floppy.png","null","image-keyboard-response","38","53359","0.0-13.0-1.4","","","2","4","54","-4","7","1","wait"
"null","img/fixation_cross.png","null","image-keyboard-response","39","53862","0.0-13.0-0.5","","","","","","","","",""
"478.3450000686571","img/Clipboard.png","32","image-keyboard-response","40","54343","0.0-13.0-1.5","","","2","5","53","-5","6","1","early"
"524.2449999786913","<p>You ended the miniblock early.</p><p>You might have saved some losses!</p>","32","html-keyboard-response","41","54870","0.0-14.0","","","","","","","","",""
"598.5900000669062","<p>In this block you made <span style=""color: #ff0000"">-5 points</span>. Stay strong!</p><p>This block, you took a total of <span style=""color: #ae7bdd"">5 steps</span>.</p><p>In total, you have collected the goal <span style=""color: #ae7bdd"">0 times</span>.</p><p>In total you now have <span style=""color: #93c54b"">53 points</span>.</p>","32","html-keyboard-response","42","55470","0.0-15.0","","","","","","","","",""
"667.5700000487268","img/Tapedispenser_goal.png","32","image-keyboard-response","43","56140","0.0-16.0","","","","","","","","",""
"null","img/fixation_cross.png","null","image-keyboard-response","44","57643","0.0-17.0-0.0","","","","","","","","",""
