"","vertex","steps","goalprob"
"1",1,1,0
"2",1,2,0
"3",1,3,0.0156260000383964
"4",1,4,0.0156194090223357
"5",1,5,0.0211539238134732
"6",1,6,0.0208389865244549
"7",1,7,0.0221811332438595
"8",1,8,0.0214997027744816
"9",1,9,0.021273080592073
"10",1,10,0.020395717446878
"11",1,11,0.0196564331293841
"12",1,12,0.0187164877372061
"13",1,13,0.0178456620683946
"14",1,14,0.0169601496207423
"15",1,15,0.0161436357277131
"16",4,1,0
"17",4,2,0.062490809571847
"18",4,3,0.031246266178262
"19",4,4,0.041676935223896
"20",4,5,0.0293064952330471
"21",4,6,0.0304538775189003
"22",4,7,0.0252569257751399
"23",4,8,0.0243017083271295
"24",4,9,0.0216416877672326
"25",4,10,0.0203882337313662
"26",4,11,0.018727266773038
"27",4,12,0.0175591264700282
"28",4,13,0.0163737993389316
"29",4,14,0.0153984929910274
"30",4,15,0.0144573962245656
"31",5,1,0
"32",5,2,0
"33",5,3,0
"34",5,4,0.0117235035145221
"35",5,5,0.0117331365791263
"36",5,6,0.0165957635454661
"37",5,7,0.0163740433313368
"38",5,8,0.0178107813741138
"39",5,9,0.0173500873923993
"40",5,10,0.0174348914682224
"41",5,11,0.0168326782709035
"42",5,12,0.0164203732317377
"43",5,13,0.0157913489242514
"44",5,14,0.0152297415482455
"45",5,15,0.014624856533189
"46",6,1,0.249985283778204
"47",6,2,0.125008070795773
"48",6,3,0.119781321752492
"49",6,4,0.0703081966268532
"50",6,5,0.0583753439830633
"51",6,6,0.0385196207351856
"52",6,7,0.0307054180140249
"53",6,8,0.0220957888341509
"54",6,9,0.0177072943632817
"55",6,10,0.0137099886846216
"56",6,11,0.0113225605960646
"57",6,12,0.00934169877150319
"58",6,13,0.00801260109777848
"59",6,14,0.00694175953698729
"60",6,15,0.00616546062071921
"61",7,1,0.250017956656012
"62",7,2,0.208310803041995
"63",7,3,0.125010065739911
"64",7,4,0.0959290436501054
"65",7,5,0.0623954483804355
"66",7,6,0.0461736934445064
"67",7,7,0.0315651682443047
"68",7,8,0.023262292735342
"69",7,9,0.0166024039301411
"70",7,10,0.0124521482302575
"71",7,11,0.00931553012989549
"72",7,12,0.00723699775384562
"73",7,13,0.00569106484707661
"74",7,14,0.00463021686155103
"75",7,15,0.00384056914402848
"76",10,1,0.333314881606586
"77",10,2,0.166687104491664
"78",10,3,0.13888796756835
"79",10,4,0.0833265477487958
"80",10,5,0.0639499550208118
"81",10,6,0.0416003365606532
"82",10,7,0.0307936571209215
"83",10,8,0.0210486198286207
"84",10,9,0.0155050513253537
"85",10,10,0.0110784476006541
"86",10,11,0.00830179183276641
"87",10,12,0.00620138112102958
"88",10,13,0.00482526156302152
"89",10,14,0.00379783214295887
"90",10,15,0.00308710793897647
"91",11,1,0
"92",11,2,0
"93",11,3,0
"94",11,4,0
"95",11,5,0
"96",11,6,0
"97",11,7,0.000729257761457742
"98",11,8,0.00109996256459666
"99",11,9,0.00190242553947894
"100",11,10,0.00245858232435794
"101",11,11,0.00317500496782491
"102",11,12,0.00374597621808594
"103",11,13,0.00435586339902273
"104",11,14,0.00486010061494647
"105",11,15,0.00536735587604111
"106",12,1,0
"107",12,2,0
"108",12,3,0
"109",12,4,0
"110",12,5,0
"111",12,6,0.000732167140651936
"112",12,7,0.00109632372210166
"113",12,8,0.00191239205011372
"114",12,9,0.00245733411293914
"115",12,10,0.00318068692223647
"116",12,11,0.00374364885249142
"117",12,12,0.00434703017670082
"118",12,13,0.00486721325953191
"119",12,14,0.00536352368556314
"120",12,15,0.00580422802814581
"121",15,1,0
"122",15,2,0
"123",15,3,0
"124",15,4,0
"125",15,5,0.00293277590351052
"126",15,6,0.00292758429144388
"127",15,7,0.0046983907360353
"128",15,8,0.00490670379137034
"129",15,9,0.00588033562702169
"130",15,10,0.00618336150704722
"131",15,11,0.00673703041656707
"132",15,12,0.00702044455013418
"133",15,13,0.00736666415764006
"134",15,14,0.00759918655167235
"135",15,15,0.00782797207607348
