"","vertex","steps","goalprob"
"1",1,1,0
"2",1,2,0
"3",1,3,0.0468905235535717
"4",1,4,0.0234287540043537
"5",1,5,0.0322281064762393
"6",1,6,0.0248994878410067
"7",1,7,0.0258242220876215
"8",1,8,0.0227895609884185
"9",1,9,0.0221299450418182
"10",1,10,0.020434906443193
"11",1,11,0.0195140294422539
"12",1,12,0.0183677217514849
"13",1,13,0.0175206226549135
"14",1,14,0.0166540703263106
"15",1,15,0.0159157875780652
"16",2,1,0
"17",2,2,0.0624992739355407
"18",2,3,0.031258183150265
"19",2,4,0.0390607641556536
"20",2,5,0.0312478279033467
"21",2,6,0.0310119552934574
"22",2,7,0.0275874039404844
"23",2,8,0.0260622916875935
"24",2,9,0.0239148562055388
"25",2,10,0.0223642751633102
"26",2,11,0.0207758608578115
"27",2,12,0.019470957858693
"28",2,13,0.0182177272123157
"29",2,14,0.0171422485472345
"30",2,15,0.016141341848706
"31",5,1,0.249995085456616
"32",5,2,0
"33",5,3,0.0468792865768962
"34",5,4,0.0234435910364122
"35",5,5,0.0293017691533558
"36",5,6,0.0234472101587403
"37",5,7,0.0232576610119962
"38",5,8,0.0206907004431968
"39",5,9,0.0195446301981653
"40",5,10,0.0179155120705299
"41",5,11,0.0167754376532334
"42",5,12,0.0155878821319321
"43",5,13,0.0145967196512677
"44",5,14,0.0136509541520255
"45",5,15,0.0128550610243389
"46",7,1,0.249969799525644
"47",7,2,0.125016967780277
"48",7,3,0.10936294312633
"49",7,4,0.0781147454897668
"50",7,5,0.0625031747104025
"51",7,6,0.0473648342356857
"52",7,7,0.0374072689984249
"53",7,8,0.0291479234538478
"54",7,9,0.0232036361018985
"55",7,10,0.018485134213972
"56",7,11,0.0149822343378934
"57",7,12,0.0122357240287771
"58",7,13,0.0101464624813526
"59",7,14,0.00850884839963821
"60",7,15,0.0072541604112375
"61",10,1,0
"62",10,2,0.18747774714466
"63",10,3,0.0937464256611936
"64",10,4,0.0937279905824838
"65",10,5,0.0644553727075966
"66",10,6,0.0549405139842697
"67",10,7,0.0417584196216408
"68",10,8,0.0345225169175041
"69",10,9,0.0275598114117543
"70",10,10,0.0229320137705587
"71",10,11,0.0189721903307214
"72",10,12,0.0161010860755698
"73",10,13,0.0137600267890398
"74",10,14,0.0119780695935273
"75",10,15,0.0105524976972077
"76",11,1,0
"77",11,2,0
"78",11,3,0.0468715942562109
"79",11,4,0.0234372116464936
"80",11,5,0.0322126927935115
"81",11,6,0.0248938267472869
"82",11,7,0.0257967466426668
"83",11,8,0.0227947460000291
"84",11,9,0.0221251436519393
"85",11,10,0.0204325029810101
"86",11,11,0.0195124448238664
"87",11,12,0.0183640037986004
"88",11,13,0.0175111218189018
"89",11,14,0.0166539828380464
"90",11,15,0.0159314221047515
"91",12,1,0
"92",12,2,0
"93",12,3,0
"94",12,4,0.0117108337055274
"95",12,5,0.0117166209837943
"96",12,6,0.016114940961075
"97",12,7,0.0164745317128295
"98",12,8,0.0179791348944035
"99",12,9,0.0180558422188669
"100",12,10,0.0183751837734106
"101",12,11,0.0181575798094724
"102",12,12,0.017991112144256
"103",12,13,0.017618862440388
"104",12,14,0.0172488016623456
"105",12,15,0.0167993153799382
"106",15,1,0
"107",15,2,0
"108",15,3,0
"109",15,4,0
"110",15,5,0.00879712326346071
"111",15,6,0.00878943408072737
"112",15,7,0.0131832020746911
"113",15,8,0.0134531625036514
"114",15,9,0.0152760034049027
"115",15,10,0.0154652523514671
"116",15,11,0.0161029440575197
"117",15,12,0.0160975226116245
"118",15,13,0.0161872991740075
"119",15,14,0.0160517307561172
"120",15,15,0.0159116297982334
"121",16,1,0
"122",16,2,0
"123",16,3,0
"124",16,4,0
"125",16,5,0
"126",16,6,0.00438819674162883
"127",16,7,0.00439146467517498
"128",16,8,0.00713305424082552
"129",16,9,0.00768726701483448
"130",16,10,0.0092535686927629
"131",16,11,0.00991614446576293
"132",16,12,0.0108395049301735
"133",16,13,0.0113784324018121
"134",16,14,0.0119498115618458
"135",16,15,0.0123289307928296
"136",17,1,0
"137",17,2,0
"138",17,3,0
"139",17,4,0
"140",17,5,0.00293066317781047
"141",17,6,0.00293252386116665
"142",17,7,0.00513111450588445
"143",17,8,0.00577043152423076
"144",17,9,0.00723529569509482
"145",17,10,0.00804981357960272
"146",17,11,0.0090870471719186
"147",17,12,0.00980572338410063
"148",17,13,0.0105330348449663
"149",17,14,0.0110851274620534
"150",17,15,0.0116073053245057
"151",20,1,0
"152",20,2,0
"153",20,3,0
"154",20,4,0.0117172596496423
"155",20,5,0.00585803707222969
"156",20,6,0.0102542138774372
"157",20,7,0.00842545887735948
"158",20,8,0.0102954447475203
"159",20,9,0.010028659014165
"160",20,10,0.0109655787628802
"161",20,11,0.0111551713411376
"162",20,12,0.0116871484063367
"163",20,13,0.0119449266536621
"164",20,14,0.01227982157188
"165",20,15,0.0124868054817536
